combo,trend_strength_strong,trend_strength_sideways,vol_expanding_mult,hurst_accumulation,mr_min_score,pf,sharpe,wr,dd,return,trades
TS0.35_SS0.25_VE1.15_HA0.40_MR2.0,0.35,0.25,1.15,0.4,2.0,1.59,1.7,51.2,26.79,1371.55,465
TS0.35_SS0.25_VE1.15_HA0.40_MR2.5,0.35,0.25,1.15,0.4,2.5,1.65,1.79,52.1,23.8,1474.03,463
TS0.35_SS0.25_VE1.15_HA0.40_MR3.0,0.35,0.25,1.15,0.4,3.0,1.65,1.8,51.8,22.11,1446.54,452
TS0.35_SS0.25_VE1.15_HA0.45_MR2.0,0.35,0.25,1.15,0.45,2.0,1.59,1.7,51.2,26.79,1371.55,465
TS0.35_SS0.25_VE1.15_HA0.45_MR2.5,0.35,0.25,1.15,0.45,2.5,1.65,1.79,52.1,23.8,1474.03,463
TS0.35_SS0.25_VE1.15_HA0.45_MR3.0,0.35,0.25,1.15,0.45,3.0,1.65,1.8,51.8,22.11,1446.54,452
TS0.35_SS0.25_VE1.15_HA0.50_MR2.0,0.35,0.25,1.15,0.5,2.0,1.59,1.7,51.2,26.79,1371.55,465
TS0.35_SS0.25_VE1.15_HA0.50_MR2.5,0.35,0.25,1.15,0.5,2.5,1.65,1.79,52.1,23.8,1474.03,463
TS0.35_SS0.25_VE1.15_HA0.50_MR3.0,0.35,0.25,1.15,0.5,3.0,1.65,1.8,51.8,22.11,1446.54,452
TS0.35_SS0.25_VE1.20_HA0.40_MR2.0,0.35,0.25,1.2,0.4,2.0,1.59,1.7,51.2,26.79,1371.55,465
TS0.35_SS0.25_VE1.20_HA0.40_MR2.5,0.35,0.25,1.2,0.4,2.5,1.65,1.79,52.1,23.8,1474.03,463
TS0.35_SS0.25_VE1.20_HA0.40_MR3.0,0.35,0.25,1.2,0.4,3.0,1.65,1.8,51.8,22.11,1446.54,452
TS0.35_SS0.25_VE1.20_HA0.45_MR2.0,0.35,0.25,1.2,0.45,2.0,1.59,1.7,51.2,26.79,1371.55,465
TS0.35_SS0.25_VE1.20_HA0.45_MR2.5,0.35,0.25,1.2,0.45,2.5,1.65,1.79,52.1,23.8,1474.03,463
TS0.35_SS0.25_VE1.20_HA0.45_MR3.0,0.35,0.25,1.2,0.45,3.0,1.65,1.8,51.8,22.11,1446.54,452
TS0.35_SS0.25_VE1.20_HA0.50_MR2.0,0.35,0.25,1.2,0.5,2.0,1.59,1.7,51.2,26.79,1371.55,465
TS0.35_SS0.25_VE1.20_HA0.50_MR2.5,0.35,0.25,1.2,0.5,2.5,1.65,1.79,52.1,23.8,1474.03,463
TS0.35_SS0.25_VE1.20_HA0.50_MR3.0,0.35,0.25,1.2,0.5,3.0,1.65,1.8,51.8,22.11,1446.54,452
TS0.35_SS0.25_VE1.25_HA0.40_MR2.0,0.35,0.25,1.25,0.4,2.0,1.59,1.7,51.2,26.79,1371.55,465
TS0.35_SS0.25_VE1.25_HA0.40_MR2.5,0.35,0.25,1.25,0.4,2.5,1.65,1.79,52.1,23.8,1474.03,463
TS0.35_SS0.25_VE1.25_HA0.40_MR3.0,0.35,0.25,1.25,0.4,3.0,1.65,1.8,51.8,22.11,1446.54,452
TS0.35_SS0.25_VE1.25_HA0.45_MR2.0,0.35,0.25,1.25,0.45,2.0,1.59,1.7,51.2,26.79,1371.55,465
TS0.35_SS0.25_VE1.25_HA0.45_MR2.5,0.35,0.25,1.25,0.45,2.5,1.65,1.79,52.1,23.8,1474.03,463
