scenario,period,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,total_return_pct,cagr,max_dd_pct,sharpe,sortino,calmar,alpha_pct,psr_pct,min_trl,max_dd_duration_days,avg_trade_pnl,avg_hold_min,bh_return_pct,bh_cagr,initial_capital,final_capital,evaluation_mode,note
base,full,800,450,350,56.2,379665.91,1240.46,-510.11,3.13,2531.11,34.49,27.04,1.22,1.42,1.28,2325.89,100.0,87,210,474.58,80.7,205.22,10.65,15000,394665.92,full_run_slice,csv_15m|full_run_slice
base,10y,743,416,327,56.0,364618.9,1281.06,-514.68,3.17,2430.79,38.17,23.44,1.48,1.99,1.63,2190.51,100.0,18,207,490.74,81.3,240.28,13.04,15000,379618.88,full_run_slice,csv_15m|full_run_slice
base,5y,362,205,157,56.6,233804.18,1641.98,-654.79,3.27,1558.69,75.54,35.44,1.21,1.54,2.13,1479.51,100.0,31,210,645.87,86.8,79.18,12.41,15000,248804.16,full_run_slice,csv_15m|full_run_slice
base,train_2015_2019,379,208,171,54.9,108483.35,806.91,-347.1,2.83,723.22,52.77,27.04,1.24,1.47,1.95,676.26,100.0,53,144,286.24,76.1,46.96,8.06,15000,123483.39,isolated_holdout,csv_15m|isolated
base,test_2020_plus,426,244,182,57.3,274495.47,1616.83,-659.41,3.29,1829.97,63.0,20.99,1.58,2.1,3.0,1723.24,100.0,23,210,644.36,84.8,106.73,12.74,15000,289495.46,isolated_holdout,csv_15m|isolated
base,2020-03,2,1,1,50.0,2015.24,2098.88,-83.64,25.09,13.43,389.25,23.28,2.59,9.24,16.72,37.06,100.0,2,14,1007.62,90.0,-23.63,-97.03,15000,17015.24,isolated_holdout,csv_15m|isolated
base,2020-04,2,1,1,50.0,268.97,3096.34,-2827.37,1.1,1.79,25.09,18.85,1.88,0,1.33,-19.47,99.6,2,7,134.49,22.5,21.26,1256.6,15000,15268.97,isolated_holdout,csv_15m|isolated
base,2020-05,6,5,1,83.3,7983.82,1616.0,-96.2,83.99,53.23,50913.39,14.72,5.44,9.53,3459.85,51.22,100.0,3,13,1330.64,80.0,2.01,35.39,15000,22983.82,isolated_holdout,csv_15m|isolated
base,2020-06,3,2,1,66.7,1753.31,1202.47,-651.63,3.69,11.69,302.41,6.73,4.63,7.72,44.91,7.35,100.0,2,7,584.44,55.0,4.34,73.98,15000,16753.32,isolated_holdout,csv_15m|isolated
base,2022-02,1,1,0,100.0,1475.27,1475.27,0,inf,9.84,255.74,4.21,0,0,60.72,14.94,0.0,0,1,1475.27,60.0,-5.1,-52.09,15000,16475.27,isolated_holdout,csv_15m|isolated
base,2024-06,8,4,4,50.0,3804.26,1256.06,-305.0,4.12,25.36,2617.6,21.08,2.05,2.88,124.18,18.91,100.0,5,14,475.53,78.8,6.45,159.08,15000,18804.24,isolated_holdout,csv_15m|isolated
slip_0.30,full,745,413,332,55.4,601574884.07,1631352.4,-217390.54,9.34,4010499.23,161.28,16.6,2.29,3.8,9.71,4010294.01,100.0,8,116,807483.07,82.1,205.22,10.65,15000,601589884.18,full_run_slice,csv_15m|full_run_slice
slip_0.30,10y,687,380,307,55.3,326659891.84,962830.86,-127738.88,9.33,2177732.61,171.71,20.05,2.34,3.94,8.56,2177492.33,100.0,7,129,475487.47,82.4,240.28,13.04,15000,326674891.77,full_run_slice,csv_15m|full_run_slice
slip_0.30,5y,334,185,149,55.4,3597669.02,21686.09,-2780.25,9.68,23984.46,200.05,38.62,1.94,2.84,5.18,23905.28,100.0,17,139,10771.46,88.1,79.18,12.41,15000,3612668.99,full_run_slice,csv_15m|full_run_slice
slip_0.30,train_2015_2019,370,202,168,54.6,898370.07,5715.36,-1524.6,4.51,5989.13,128.42,15.84,1.9,2.89,8.11,5942.17,100.0,9,116,2428.03,76.7,46.96,8.06,15000,913370.15,isolated_holdout,csv_15m|isolated
slip_0.30,test_2020_plus,389,215,174,55.3,9813384.32,51219.75,-6890.01,9.19,65422.56,191.63,22.47,2.35,3.86,8.53,65315.83,100.0,8,135,25227.21,86.5,106.73,12.74,15000,9828384.28,isolated_holdout,csv_15m|isolated
slip_0.30,2020-03,2,1,1,50.0,1942.41,2058.89,-116.48,17.68,12.95,363.51,23.49,2.53,7.32,15.47,36.58,100.0,2,14,971.2,90.0,-23.63,-97.03,15000,16942.41,isolated_holdout,csv_15m|isolated
slip_0.30,2020-04,2,1,1,50.0,97.48,3023.96,-2926.48,1.03,0.65,8.5,19.51,1.52,0,0.44,-20.61,98.1,3,7,48.74,22.5,21.26,1256.6,15000,15097.48,isolated_holdout,csv_15m|isolated
slip_0.30,2020-05,6,4,2,66.7,7104.7,1845.06,-137.78,26.78,47.36,28755.45,14.97,5.08,8.68,1921.23,45.35,100.0,3,13,1184.12,80.0,2.01,35.39,15000,22104.7,isolated_holdout,csv_15m|isolated
slip_0.30,2020-06,3,2,1,66.7,1610.29,1169.8,-729.31,3.21,10.74,261.22,7.34,4.23,7.01,35.6,6.4,100.0,2,7,536.76,55.0,4.34,73.98,15000,16610.29,isolated_holdout,csv_15m|isolated
slip_0.30,2022-02,1,1,0,100.0,1438.38,1438.38,0,inf,9.59,245.12,4.21,0,0,58.19,14.69,0.0,0,1,1438.38,60.0,-5.1,-52.09,15000,16438.38,isolated_holdout,csv_15m|isolated
slip_0.30,2024-06,8,4,4,50.0,3549.61,1222.29,-334.89,3.65,23.66,2126.77,21.27,1.95,2.79,99.99,17.21,100.0,5,14,443.7,78.8,6.45,159.08,15000,18549.6,isolated_holdout,csv_15m|isolated
