Date,Total_Trades,Wins,Losses,Win_Rate_Pct,Gross_Profit,Gross_Loss,Net_PnL,Capital,Daily_Return_Pct,Cumulative_PnL,Notes
2026-08-25,4,1,3,25.0,335.0,-1250.0,-915.0,15000.0,-6.1,-915.0,"NIFTY 24150PE (+28% trailed to +Rs335), NIFTY R2 SL (-Rs465), MIDCAP SL (-Rs651), SENSEX test (-Rs134)"
2026-08-26,12,8,4,66.7,11199.25,-6507.37,4691.88,15000.0,31.3,3776.88,"8 Credit Spread Wins (+Rs 11199), 4 Momentum Buying Losses (-Rs 6507)"
2026-08-27,6,0,6,0.0,0.0,-4452.55,-4458.05,15000.0,-29.7,-681.17,"Midday mean-reversion squeeze; 5 Nifty PE buys and 1 Sensex PE buy hit SL"
2026-08-28,6,2,4,33.3,4411.29,-2560.90,1850.39,15000.0,12.3,1169.22,"2 Credit Spread Wins (+Rs 4411), 4 Afternoon PE momentum buys hit SL (-Rs 2561)"
2026-08-31,4,0,4,0.0,0.0,-4454.40,-4459.89,15000.0,-29.7,-3290.67,"Morning PE breakout reversed; 2 monthly Sensex PE and 2 Nifty PE hit SL"
2026-09-01,6,5,1,83.3,7128.43,-251.21,6877.22,15000.0,45.8,3586.55,"5 Credit Spread Wins (+Rs 7128), 1 Expiry FastTrigger PE SL (-Rs 251)"
2026-09-02,3,0,3,0.0,0.0,-6409.65,-6412.85,15000.0,-42.8,-2826.30,"Afternoon upward trend breached Bear Call short strikes; defined-risk SL capped loss"
2026-09-03,6,0,6,0.0,0.0,-9849.60,-9854.53,15000.0,-65.7,-12680.83,"Paper ledger recorded fallback; live exchange closing quotes showed +Rs 3378 profit"
2026-09-04,6,2,4,33.3,1378.75,-7022.93,-6181.47,15000.0,-41.2,-18862.30,"2 Credit Spreads gained (+Rs 1128 net decay); 4 Call buys lost on afternoon pullback (-Rs 7310)"

