entry_time,exit_time,symbol,direction,strategy,net_pnl,gross_pnl,costs,entry_price,exit_price,quantity,exit_reason,entry_type,signal_liqsweep,signal_fvg,signal_vp,signal_ote,signal_rsi_div,signal_vol_surge,signal_vol_confirm,signal_vwap,signal_bias,bull_score,bear_score,atr_at_entry,regime_at_entry,market_regime,volatility_regime,option_expiry_date,entry_year,entry_month,hold_min,win
2020-01-03 09:45:00,2020-01-03 11:15:00,NIFTY 50,bearish,pro_LiqSweep+RSI_Div+VWAP,-69.35,2.07,71.42,163.23,163.26,65,stop_loss_premium_phase3,immediate,True,False,False,False,True,False,False,True,False,0.0,2.79,13.75,markup,unknown,unknown,2020-01-09,2020,2020-01,90.0,False
2020-01-06 09:15:00,2020-01-06 10:45:00,NIFTY 50,bullish,pro_FVG+VP,-353.38,-286.84,66.54,137.72,133.17,63,stop_loss_premium_phase3,immediate,False,True,True,False,False,False,False,False,False,2.89,0.3,13.62,markup,unknown,unknown,2020-01-09,2020,2020-01,90.0,False
2020-01-07 14:15:00,2020-01-08 09:15:00,NIFTY 50,bearish,pro_FVG+RSI_Div+VWAP,2243.62,2316.26,72.64,163.71,203.65,58,target,immediate,False,True,False,False,True,False,False,True,False,0.88,2.72,22.41,markup,unknown,unknown,2020-01-09,2020,2020-01,1140.0,True
2020-01-13 14:45:00,2020-01-14 09:30:00,NIFTY 50,bearish,pro_LiqSweep+FVG+RSI_Div+VWAP,-46.57,14.04,60.61,90.24,90.45,65,stop_loss_premium_phase2,immediate,True,True,False,False,True,False,False,True,True,1.46,4.95,12.47,markup,unknown,unknown,2020-01-16,2020,2020-01,1125.0,False
2020-01-17 14:15:00,2020-01-20 09:15:00,NIFTY 50,bearish,pro_FVG+OTE+VWAP,-62.83,-0.94,61.89,100.58,100.56,64,stop_loss_premium_phase2,immediate,False,True,False,True,False,False,False,True,True,1.46,3.34,12.09,accumulation,unknown,unknown,2020-01-23,2020,2020-01,4020.0,False
2020-01-24 09:30:00,2020-01-24 11:00:00,NIFTY 50,bullish,pro_LiqSweep+VP+RSI_Div,784.21,847.96,63.75,108.92,122.82,61,stop_loss_premium_phase3,immediate,True,False,True,False,True,False,False,False,True,4.68,0.3,16.03,markup,unknown,unknown,2020-01-30,2020,2020-01,90.0,True
2020-01-24 11:15:00,2020-01-24 12:45:00,NIFTY 50,bullish,pro_LiqSweep+FVG+VP,216.22,279.27,63.05,116.26,121.07,58,stop_loss_premium_phase3,immediate,True,True,True,False,False,False,False,False,True,5.13,1.29,18.54,markup,unknown,unknown,2020-01-30,2020,2020-01,90.0,True
2020-01-24 14:15:00,2020-01-27 09:15:00,NIFTY 50,bullish,pro_LiqSweep+VP,-77.08,-4.01,73.07,177.12,177.05,64,stop_loss_premium_phase2,immediate,True,False,True,False,False,False,False,False,True,3.7,1.29,11.18,markup,unknown,unknown,2020-01-30,2020,2020-01,4020.0,False
2020-02-01 14:15:00,2020-02-01 14:45:00,NIFTY 50,bearish,pro_FVG+RSI_Div+VWAP,3489.52,3571.34,81.82,200.35,257.04,63,target,immediate,False,True,False,False,True,False,False,True,True,0.0,3.45,57.96,markdown,unknown,unknown,2020-02-06,2020,2020-02,30.0,True
2020-02-03 10:45:00,2020-02-03 11:45:00,NIFTY 50,bullish,pro_FVG+OTE,-66.33,12.35,78.68,212.01,212.2,65,stop_loss_premium_phase2,immediate,False,True,False,True,False,False,False,False,True,3.04,0.3,58.17,markdown,unknown,unknown,2020-02-06,2020,2020-02,60.0,False
2020-02-07 11:00:00,2020-02-07 12:30:00,NIFTY 50,bullish,pro_LiqSweep+VP+OTE,-61.32,13.72,75.04,190.39,190.6,64,stop_loss_premium_phase3,immediate,True,False,True,True,False,False,False,False,True,4.57,0.3,22.81,markdown,unknown,unknown,2020-02-13,2020,2020-02,90.0,False
2020-02-07 14:45:00,2020-02-10 09:30:00,NIFTY 50,bullish,pro_LiqSweep+VP+RSI_Div,-69.86,2.14,72.0,172.44,172.48,63,stop_loss_premium_phase2,immediate,True,False,True,False,True,False,False,False,True,4.68,0.3,17.09,markdown,unknown,unknown,2020-02-13,2020,2020-02,4005.0,False
2020-02-10 14:45:00,2020-02-11 09:15:00,NIFTY 50,bullish,pro_VP+OTE+RSI_Div,1992.06,2066.51,74.45,168.76,202.09,62,target,immediate,False,False,True,True,True,False,False,False,True,4.06,0.3,14.21,markdown,unknown,unknown,2020-02-13,2020,2020-02,1110.0,True
2020-02-18 14:30:00,2020-02-18 15:00:00,NIFTY 50,bullish,pro_LiqSweep+VP+RSI_Div,2313.7,2388.57,74.87,160.31,197.06,65,target,immediate,True,False,True,False,True,False,False,False,False,3.95,1.18,14.99,markdown,unknown,unknown,2020-02-20,2020,2020-02,30.0,True
2020-02-18 15:15:00,2020-02-19 09:15:00,NIFTY 50,bullish,pro_LiqSweep+VP+RSI_Div,1981.88,2043.65,61.77,75.81,107.26,65,target,immediate,True,False,True,False,True,False,False,False,False,3.95,1.73,17.9,markdown,unknown,unknown,2020-02-20,2020,2020-02,1080.0,True
2020-02-25 09:30:00,2020-02-25 11:00:00,NIFTY 50,bearish,pro_LiqSweep+FVG+VWAP,436.82,500.28,63.46,104.08,111.77,65,stop_loss_premium_phase3,immediate,True,True,False,False,False,False,False,True,True,1.86,3.97,24.64,markdown,unknown,unknown,2020-02-27,2020,2020-02,90.0,True
2020-03-17 10:45:00,2020-03-17 12:15:00,NIFTY 50,bearish,pro_FVG+OTE+VWAP,2106.84,2188.95,82.11,211.27,244.95,65,stop_loss_premium_phase3,immediate,False,True,False,True,False,False,False,True,True,0.0,3.34,106.91,markdown,volatile,extreme,2020-03-19,2020,2020-03,90.0,True
2020-03-17 15:00:00,2020-03-18 10:15:00,NIFTY 50,bearish,pro_VP+RSI_Div+VWAP,-68.95,1.41,70.36,187.87,187.9,54,stop_loss_premium_phase3,immediate,False,False,True,False,True,False,False,True,True,1.43,3.49,62.7,markdown,volatile,extreme,2020-03-19,2020,2020-03,1155.0,False
2020-04-03 10:00:00,2020-04-03 11:30:00,NIFTY 50,bearish,pro_FVG+RSI_Div+VWAP,1309.7,1381.69,71.99,219.44,250.14,45,stop_loss_premium_phase3,immediate,False,True,False,False,True,False,False,True,False,0.0,2.72,51.19,markdown,volatile,extreme,2020-04-09,2020,2020-04,90.0,True
2020-04-13 11:30:00,2020-04-13 13:00:00,NIFTY 50,bearish,pro_LiqSweep+FVG+VWAP,897.14,970.78,73.64,205.45,223.77,53,stop_loss_premium_phase3,immediate,True,True,False,False,False,False,False,True,True,0.0,3.97,53.3,markdown,volatile,extreme,2020-04-16,2020,2020-04,90.0,True
2020-04-13 14:45:00,2020-04-15 09:30:00,NIFTY 50,bearish,pro_LiqSweep+FVG+VWAP,-78.07,-2.16,75.91,213.21,213.17,59,stop_loss_premium_phase2,immediate,True,True,False,False,False,False,False,True,True,0.99,3.97,47.07,markdown,volatile,extreme,2020-04-16,2020,2020-04,2565.0,False
2020-04-20 14:15:00,2020-04-20 14:45:00,NIFTY 50,bearish,pro_LiqSweep+FVG+VWAP,2813.46,2892.09,78.63,198.4,247.42,59,target,immediate,True,True,False,False,False,False,False,True,False,0.88,3.23,33.88,markup,volatile,extreme,2020-04-23,2020,2020-04,30.0,True
2020-05-11 10:30:00,2020-05-11 12:00:00,NIFTY 50,bearish,pro_FVG+OTE+VWAP,1598.54,1675.8,77.26,184.19,209.97,65,stop_loss_premium_phase3,immediate,False,True,False,True,False,False,False,True,True,0.0,3.34,41.07,markdown,volatile,extreme,2020-05-14,2020,2020-05,90.0,True
2020-05-11 14:15:00,2020-05-11 14:45:00,NIFTY 50,bearish,pro_VP+RSI_Div+VWAP,2482.28,2558.95,76.67,175.94,216.56,63,target,immediate,False,False,True,False,True,False,False,True,True,1.43,3.49,26.09,markdown,volatile,extreme,2020-05-14,2020,2020-05,30.0,True
2020-05-12 09:15:00,2020-05-12 09:30:00,NIFTY 50,bearish,pro_FVG+RSI_Div+VWAP,-1257.81,-1177.66,80.15,234.96,216.84,65,target,immediate,False,True,False,False,True,False,False,True,True,0.0,3.45,27.29,markdown,volatile,extreme,2020-05-14,2020,2020-05,15.0,False
2020-05-18 10:15:00,2020-05-18 11:00:00,NIFTY 50,bearish,pro_LiqSweep+RSI_Div+VWAP,3058.57,3136.05,77.48,193.52,248.54,57,target,immediate,True,False,False,False,True,False,False,True,False,0.0,2.79,45.18,markdown,volatile,extreme,2020-05-21,2020,2020-05,45.0,True
2020-05-19 09:15:00,2020-05-19 10:15:00,NIFTY 50,bearish,pro_LiqSweep+FVG+VWAP,-688.81,-627.9,60.91,99.29,89.63,65,stop_loss_premium_phase2,immediate,True,True,False,False,False,False,False,True,False,0.0,3.23,31.6,markdown,volatile,extreme,2020-05-21,2020,2020-05,60.0,False
2020-05-22 10:00:00,2020-05-22 11:00:00,NIFTY 50,bullish,pro_LiqSweep+RSI_Div,-59.66,16.96,76.62,211.11,211.38,61,stop_loss_premium_phase2,immediate,True,False,False,False,True,False,False,False,True,3.22,0.3,33.16,markdown,volatile,extreme,2020-05-28,2020,2020-05,60.0,False
2020-05-22 14:30:00,2020-05-26 09:15:00,NIFTY 50,bullish,pro_LiqSweep+OTE,2443.62,2519.6,75.98,180.22,222.21,60,target,immediate,True,False,False,True,False,False,False,False,True,3.11,0.3,28.68,markdown,volatile,extreme,2020-05-28,2020,2020-05,5445.0,True
2020-05-26 11:00:00,2020-05-26 12:30:00,NIFTY 50,bearish,pro_FVG+OTE+VWAP,665.93,738.77,72.84,164.68,176.05,65,stop_loss_premium_phase3,immediate,False,True,False,True,False,False,False,True,True,1.5,3.34,33.11,markup,volatile,extreme,2020-05-28,2020,2020-05,90.0,True
2020-05-29 10:30:00,2020-05-29 12:00:00,NIFTY 50,bullish,pro_LiqSweep+VP,518.73,595.1,76.37,196.13,205.57,63,stop_loss_premium_phase3,immediate,True,False,True,False,False,False,False,False,True,3.7,0.3,33.83,accumulation,volatile,extreme,2020-06-04,2020,2020-05,90.0,True
2020-06-15 09:15:00,2020-06-15 10:15:00,NIFTY 50,bullish,pro_FVG+VP,-201.87,-129.96,71.91,167.93,165.93,65,stop_loss_premium_phase2,immediate,False,True,True,False,False,False,False,False,True,3.63,0.3,46.12,markup,volatile,extreme,2020-06-18,2020,2020-06,60.0,False
2020-06-19 14:15:00,2020-06-22 09:15:00,NIFTY 50,bullish,pro_VP+RSI_Div,2880.65,2961.22,80.57,198.52,245.52,63,target,immediate,False,False,True,False,True,False,False,False,True,3.18,1.18,33.8,markup,markup,high,2020-06-25,2020,2020-06,4020.0,True
2020-06-23 09:30:00,2020-06-23 11:00:00,NIFTY 50,bullish,pro_LiqSweep+FVG+VP,1740.68,1818.03,77.35,183.23,211.2,65,stop_loss_premium_phase3,immediate,True,True,True,False,False,False,False,False,True,5.13,1.18,31.81,markup,markup,high,2020-06-25,2020,2020-06,90.0,True
2020-06-29 14:30:00,2020-06-29 15:15:00,NIFTY 50,bullish,pro_LiqSweep+VP,746.8,820.57,73.77,181.21,194.66,61,end_of_data,immediate,True,False,True,False,False,False,False,False,True,3.7,0.3,28.01,markdown,markup,high,2020-07-02,2020,2020-06,45.0,True
