scenario,period,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,total_return_pct,cagr,max_dd_pct,sharpe,sortino,calmar,alpha_pct,psr_pct,min_trl,max_dd_duration_days,avg_trade_pnl,avg_hold_min,bh_return_pct,bh_cagr,initial_capital,final_capital,evaluation_mode,note
base,full,1159,711,448,61.3,1012126.95,1546.77,195.6,12.55,6747.51,46.66,9.39,1.92,2.44,4.97,36.03,100.0,43,50,873.28,763.4,204.91,10.63,15000.0,1027126.89,full_run_slice,csv_15m|full_run_slice
base,10y,1053,644,409,61.2,946345.59,1592.9,194.33,12.91,1171.49,28.95,3.85,2.64,3.72,7.52,15.99,100.0,12,50,898.71,757.6,238.36,12.96,80781.33,1027126.89,full_run_slice,csv_15m|full_run_slice
base,5y,499,309,190,61.9,582838.55,2019.29,216.43,15.17,131.18,18.25,1.63,2.98,4.25,11.22,6.4,100.0,10,50,1168.01,718.6,75.03,11.85,444288.27,1027126.89,full_run_slice,csv_15m|full_run_slice
base,train_2015_2019,579,350,229,60.4,328196.24,1057.85,183.63,8.8,2188.55,87.69,9.39,2.08,2.72,9.34,79.52,100.0,24,40,566.83,774.5,47.8,8.17,15000.0,343282.3,isolated_holdout,csv_15m|isolated
base,test_2020_plus,579,361,218,62.3,675746.11,1997.99,208.85,15.84,4504.97,88.15,16.75,1.82,2.41,5.26,75.4,100.0,67,50,1167.09,738.0,106.93,12.75,15000.0,690746.18,isolated_holdout,csv_15m|isolated
base,2020-03,2,1,1,50.0,2003.59,2082.86,79.27,26.28,13.36,360.17,15.97,2.44,4.91,22.55,457.94,100.0,2,12,1001.8,622.5,-26.82,-97.77,15000.0,17003.59,isolated_holdout,csv_15m|isolated
base,2020-04,4,3,1,75.0,5252.12,1783.44,98.2,54.48,35.01,4286.34,28.91,3.18,3.91,148.27,3942.93,100.0,5,10,1313.03,693.8,12.55,343.41,15000.0,20252.11,isolated_holdout,csv_15m|isolated
base,2020-05,9,6,3,66.7,7937.06,1668.45,691.2,4.83,52.91,17504.98,20.95,3.47,7.43,835.57,17489.32,100.0,3,6,881.9,658.3,1.2,15.66,15000.0,22937.06,isolated_holdout,csv_15m|isolated
base,2020-06,4,3,1,75.0,4928.69,1715.05,216.45,23.77,33.45,3687.33,11.5,4.7,14.74,320.6,3596.01,100.0,2,6,1232.17,1053.8,5.29,91.32,15000.0,20017.38,isolated_holdout,csv_15m|isolated
base,2022-02,3,2,1,66.7,2617.9,1354.16,90.43,29.95,18.07,845.74,9.73,3.94,6.33,86.92,894.51,100.0,3,14,872.63,1395.0,-4.82,-48.77,15000.0,17710.14,isolated_holdout,csv_15m|isolated
base,2024-06,9,7,2,77.8,15783.98,2280.06,88.21,90.47,105.23,856007.99,6.06,5.53,13.89,141261.68,855948.22,100.0,4,6,1753.78,333.3,3.79,59.77,15000.0,30783.99,isolated_holdout,csv_15m|isolated
slip_0.30,full,1159,709,450,61.2,979979.39,1517.73,213.54,11.2,6533.2,46.24,9.5,1.9,2.41,4.87,35.61,100.0,42,50,845.54,767.5,204.91,10.63,15000.0,994979.38,full_run_slice,csv_15m|full_run_slice
slip_0.30,10y,1053,641,412,60.9,913636.67,1561.88,212.45,11.44,1123.19,28.45,3.92,2.56,3.58,7.25,15.49,100.0,11,50,867.65,762.3,238.36,12.96,81342.77,994979.38,full_run_slice,csv_15m|full_run_slice
slip_0.30,5y,496,305,191,61.5,560852.92,1984.75,232.96,13.6,129.19,18.05,1.67,2.81,3.91,10.83,6.2,100.0,11,50,1130.75,718.8,75.03,11.85,434126.43,994979.38,full_run_slice,csv_15m|full_run_slice
slip_0.30,train_2015_2019,581,351,230,60.4,322395.97,1050.94,202.11,7.94,2149.99,87.05,9.5,2.06,2.68,9.16,78.88,100.0,24,40,554.9,785.3,47.8,8.17,15000.0,337497.84,isolated_holdout,csv_15m|isolated
slip_0.30,test_2020_plus,578,358,220,61.9,653433.22,1963.5,225.0,14.2,4356.22,87.14,16.87,1.8,2.39,5.17,74.38,100.0,62,50,1130.51,744.7,106.93,12.75,15000.0,668433.19,isolated_holdout,csv_15m|isolated
slip_0.30,2020-03,2,1,1,50.0,1966.37,2058.83,92.46,22.27,13.11,348.06,16.1,2.4,4.46,21.62,445.82,100.0,2,12,983.18,622.5,-26.82,-97.77,15000.0,16966.37,isolated_holdout,csv_15m|isolated
slip_0.30,2020-04,4,3,1,75.0,5154.4,1757.03,116.7,45.17,34.36,4027.11,28.51,3.17,3.89,141.25,3683.7,100.0,5,10,1288.6,693.8,12.55,343.41,15000.0,20154.4,isolated_holdout,csv_15m|isolated
slip_0.30,2020-05,9,6,3,66.7,7655.12,1632.83,713.95,4.57,51.03,15043.98,21.18,3.36,7.19,710.16,15028.32,100.0,3,6,850.57,658.3,1.2,15.66,15000.0,22655.12,isolated_holdout,csv_15m|isolated
slip_0.30,2020-06,4,3,1,75.0,4835.95,1689.01,231.08,21.93,32.94,3510.11,11.5,4.64,14.54,305.19,3418.79,100.0,2,6,1208.99,1053.8,5.29,91.32,15000.0,19941.36,isolated_holdout,csv_15m|isolated
slip_0.30,2022-02,3,2,1,66.7,2561.26,1334.3,107.34,24.86,17.81,818.31,9.85,3.89,6.28,83.06,867.08,100.0,3,14,853.75,1395.0,-4.82,-48.77,15000.0,17671.67,isolated_holdout,csv_15m|isolated
slip_0.30,2024-06,9,7,2,77.8,15580.74,2256.57,107.62,73.39,103.87,787479.87,6.1,5.47,13.8,129172.64,787420.09,100.0,4,6,1731.19,333.3,3.79,59.77,15000.0,30580.74,isolated_holdout,csv_15m|isolated
