entry_month,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,avg_hold_min,avg_trade_pnl
2025-12,20,13,7,65.0,34789.3,2735.65,110.59,45.94,628.5,1739.47
2025-10,14,11,3,78.6,26388.48,2431.71,120.13,74.22,802.5,1884.89
2025-07,17,11,6,64.7,19355.51,1807.37,87.59,37.83,917.6,1138.56
2025-11,9,7,2,77.8,18010.31,2825.2,883.05,11.2,311.7,2001.15
2022-01,13,9,4,69.2,17504.96,1979.08,76.69,58.07,745.4,1346.54
2024-07,17,12,5,70.6,17391.09,1682.38,559.49,7.22,562.1,1023.01
2023-05,12,11,1,91.7,17260.04,1576.74,84.12,206.18,582.5,1438.34
2024-06,9,7,2,77.8,16583.37,2394.33,88.46,94.73,333.3,1842.6
2025-06,12,8,4,66.7,15752.58,2058.33,178.51,23.06,820.0,1312.71
2022-04,11,7,4,63.6,14986.64,2194.61,93.91,40.89,1129.1,1362.42
2020-09,10,9,1,90.0,14912.3,1665.13,73.85,202.93,1465.5,1491.23
2024-10,17,7,10,41.2,14421.39,2215.05,108.4,14.3,712.1,848.32
2024-03,11,6,5,54.5,14117.04,2426.91,88.88,32.77,728.2,1283.37
2016-11,9,8,1,88.9,14020.41,1761.87,74.51,189.17,740.0,1557.82
2022-03,6,4,2,66.7,13877.18,3670.77,402.95,18.22,1087.5,2312.86
2024-02,8,6,2,75.0,13763.58,2338.38,133.33,52.61,703.1,1720.45
2022-12,9,7,2,77.8,13689.09,1999.67,154.31,45.36,313.3,1521.01
2022-11,13,9,4,69.2,13539.46,1552.41,108.05,32.33,463.8,1041.5
2015-06,19,10,9,52.6,13501.07,1463.62,126.12,12.89,506.1,710.58
2021-10,9,5,4,55.6,13230.02,2723.92,97.39,34.96,421.7,1470.0
2025-03,7,5,2,71.4,13199.18,2711.99,180.4,37.58,936.4,1885.6
2024-04,9,5,4,55.6,13034.66,2677.32,87.99,38.04,915.0,1448.3
2021-12,8,5,3,62.5,12152.12,2748.67,530.41,8.64,1183.1,1519.01
2023-09,9,9,0,100.0,12067.91,1340.88,0.0,inf,203.3,1340.88
2020-07,9,6,3,66.7,11893.0,2044.21,124.09,32.95,745.0,1321.44
2024-05,12,7,5,58.3,11593.12,1716.96,85.11,28.24,1582.5,966.09
2022-05,9,4,5,44.4,11328.02,2948.24,92.99,25.36,905.0,1258.67
2017-10,14,9,5,64.3,11032.05,1295.46,125.42,18.59,936.4,788.0
2024-09,14,8,6,57.1,10879.29,1444.32,112.54,17.11,672.9,777.09
2022-07,7,5,2,71.4,10609.3,2204.1,205.61,26.8,925.7,1515.61
2021-09,4,4,0,100.0,10568.12,2642.03,0.0,inf,1560.0,2642.03
2020-11,5,5,0,100.0,10510.03,2102.01,0.0,inf,1947.0,2102.01
2025-05,9,5,4,55.6,10304.51,2133.55,90.81,29.37,750.0,1144.95
2023-01,12,6,6,50.0,10267.08,1797.92,86.74,20.73,667.5,855.59
