entry_month,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,avg_hold_min,avg_trade_pnl
2025-12,20,12,8,60.0,31578.22,2718.21,130.03,31.36,679.5,1578.91
2025-10,15,13,2,86.7,29235.09,2264.52,101.81,144.58,561.0,1949.01
2025-07,17,11,6,64.7,18936.83,1778.74,104.88,31.09,917.6,1113.93
2022-01,13,9,4,69.2,17708.87,2008.66,92.26,48.99,745.4,1362.22
2023-05,12,11,1,91.7,16941.55,1549.19,99.54,171.2,582.5,1411.8
2024-07,18,11,7,61.1,16866.13,1807.44,430.81,6.59,533.3,937.01
2024-06,9,7,2,77.8,16372.34,2369.77,108.02,76.78,333.3,1819.15
2025-06,12,8,4,66.7,15405.25,2025.51,199.72,20.28,820.0,1283.77
2020-09,10,9,1,90.0,14681.38,1641.18,89.22,165.55,1465.5,1468.14
2022-04,11,7,4,63.6,14654.33,2157.82,112.59,33.54,1129.1,1332.21
2024-10,17,7,10,41.2,14029.73,2187.31,128.15,11.95,712.1,825.28
2024-03,11,6,5,54.5,13857.51,2398.51,106.72,26.97,728.2,1259.77
2016-11,9,8,1,88.9,13773.01,1732.17,84.38,164.23,740.0,1530.33
2025-11,8,6,2,75.0,13771.05,2598.38,909.63,8.57,354.4,1721.38
2022-03,6,4,2,66.7,13720.88,3638.41,416.38,17.48,1087.5,2286.81
2024-04,10,6,4,60.0,13587.08,2334.14,104.45,33.52,832.5,1358.71
2024-02,8,6,2,75.0,13540.63,2309.91,159.41,43.47,703.1,1692.58
2022-12,9,7,2,77.8,13469.86,1975.34,178.76,38.68,313.3,1496.65
2022-11,13,9,4,69.2,13240.6,1528.44,128.85,26.69,463.8,1018.51
2015-06,19,10,9,52.6,13147.4,1440.3,139.52,11.47,506.1,691.97
2021-10,9,5,4,55.6,13015.48,2693.82,113.4,29.69,421.7,1446.16
2025-03,7,5,2,71.4,12938.58,2671.48,209.4,31.89,936.4,1848.37
2023-09,9,9,0,100.0,11861.0,1317.89,0.0,inf,203.3,1317.89
