entry_time,exit_time,symbol,direction,strategy,net_pnl,gross_pnl,costs,entry_price,exit_price,quantity,exit_reason,entry_type,signal_liqsweep,signal_fvg,signal_vp,signal_ote,signal_rsi_div,signal_vol_surge,signal_vol_confirm,signal_vwap,signal_bias,bull_score,bear_score,atr_at_entry,regime_at_entry,market_regime,volatility_regime,option_expiry_date,entry_year,entry_month,hold_min,win
2015-01-19 14:30:00,2015-01-20 09:15:00,NIFTY 50,bearish,pro_LiqSweep+OTE+RSI_Div+VWAP,-60.42,-5.17,55.25,54.33,54.25,65,stop_loss_premium_phase2,immediate,True,False,False,True,True,False,False,True,False,1.46,3.66,11.08,markup,unknown,unknown,2015-01-22,2015,2015-01,1125.0,False
2015-01-20 15:15:00,2015-01-21 09:30:00,NIFTY 50,bullish,pro_FVG+VP,1445.4,1503.36,57.96,60.68,85.74,60,target,immediate,False,True,True,False,False,False,False,False,True,3.63,0.3,14.64,markup,unknown,unknown,2015-01-22,2015,2015-01,1095.0,True
2015-02-02 10:00:00,2015-02-02 11:30:00,NIFTY 50,bullish,pro_LiqSweep+OTE+RSI_Div,461.17,535.13,73.96,174.45,182.68,65,stop_loss_premium_phase3,immediate,True,False,False,True,True,False,False,False,True,4.1,0.3,25.77,markdown,unknown,unknown,2015-02-05,2015,2015-02,90.0,True
2015-02-03 10:45:00,2015-02-03 11:45:00,NIFTY 50,bearish,pro_FVG+OTE+VWAP,2006.19,2072.23,66.04,114.89,150.01,59,target,immediate,False,True,False,True,False,False,False,True,True,1.46,3.34,24.41,accumulation,unknown,unknown,2015-02-05,2015,2015-02,60.0,True
2015-02-06 14:15:00,2015-02-09 09:15:00,NIFTY 50,bearish,pro_FVG+RSI_Div+VWAP,1935.48,2011.11,75.63,169.53,200.47,65,target,immediate,False,True,False,False,True,False,False,True,True,1.5,3.45,18.76,markdown,unknown,unknown,2015-02-12,2015,2015-02,4020.0,True
2015-02-13 10:30:00,2015-02-13 12:30:00,NIFTY 50,bullish,pro_FVG+VP,898.58,973.11,74.53,173.53,188.5,65,stop_loss_premium_phase3,immediate,False,True,True,False,False,False,False,False,True,3.63,0.3,21.47,markup,unknown,unknown,2015-02-19,2015,2015-02,120.0,True
2015-02-16 11:15:00,2015-02-16 12:45:00,NIFTY 50,bearish,pro_FVG+OTE+VWAP,-84.38,-13.64,70.74,158.8,158.59,65,stop_loss_premium_phase3,immediate,False,True,False,True,False,False,False,True,True,1.46,3.34,18.4,markup,unknown,unknown,2015-02-19,2015,2015-02,90.0,False
2015-02-20 14:30:00,2015-02-23 09:45:00,NIFTY 50,bearish,pro_FVG+OTE+VWAP,605.75,674.83,69.08,142.26,152.81,64,stop_loss_premium_phase3,immediate,False,True,False,True,False,False,False,True,True,1.46,3.34,18.47,markup,unknown,unknown,2015-02-26,2015,2015-02,4035.0,True
2015-03-16 10:30:00,2015-03-16 12:00:00,NIFTY 50,bullish,pro_LiqSweep+OTE+RSI_Div,-83.27,-15.7,67.57,162.48,162.19,55,stop_loss_premium_phase3,immediate,True,False,False,True,True,False,False,False,False,3.36,0.3,20.78,markdown,unknown,unknown,2015-03-19,2015,2015-03,90.0,False
2015-03-16 14:45:00,2015-03-17 09:15:00,NIFTY 50,bullish,pro_LiqSweep+VP,1171.19,1230.5,59.31,80.52,102.89,55,target,immediate,True,False,True,False,False,False,False,False,False,2.96,1.18,16.83,markup,unknown,unknown,2015-03-19,2015,2015-03,1110.0,True
