entry_year,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,avg_hold_min,avg_trade_pnl
2025,118,76,42,64.4,155628.84,2250.18,366.3,11.12,751.7,1318.89
2024,117,70,47,59.8,137387.9,2066.63,154.81,19.88,687.3,1174.26
2022,92,59,33,64.1,126745.82,2218.87,126.28,31.41,768.9,1377.67
2020,78,50,28,64.1,92570.08,1939.15,156.7,22.1,965.4,1186.8
2021,71,45,26,63.4,89650.19,2194.91,350.79,10.83,758.0,1262.68
2018,111,71,40,64.0,80519.64,1192.94,104.48,20.27,708.4,725.4
2023,101,60,41,59.4,79627.36,1412.02,124.24,16.63,628.4,788.39
2015,106,67,39,63.2,65781.36,1103.4,208.89,9.07,820.5,620.58
2016,110,65,45,59.1,62308.44,1097.15,200.14,7.92,925.0,566.44
2017,132,81,51,61.4,59410.92,836.28,163.29,8.13,616.7,450.08
2019,119,64,55,53.8,59283.18,1120.97,226.53,5.76,846.1,498.18
2026,4,3,1,75.0,3213.22,1097.67,79.78,41.28,716.2,803.3
