entry_year,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,avg_hold_min,avg_trade_pnl
2025,119,76,43,63.9,147900.55,2162.16,381.95,10.01,764.4,1242.86
2024,118,68,50,57.6,131125.51,2050.74,166.5,16.75,681.7,1111.23
2022,92,59,33,64.1,124814.03,2197.56,146.72,26.78,768.9,1356.67
2020,78,50,28,64.1,88283.87,1865.95,179.07,18.61,951.7,1131.84
2021,69,44,25,63.8,85553.36,2161.88,382.78,9.94,705.2,1239.9
2018,111,71,40,64.0,78085.72,1171.74,127.7,16.29,743.9,703.47
2023,98,59,39,60.2,77615.14,1404.3,134.32,15.82,656.0,791.99
2015,106,68,38,64.2,66342.72,1101.56,225.34,8.75,819.9,625.87
2016,110,64,46,58.2,60860.56,1104.77,214.02,7.18,924.8,553.28
2019,122,66,56,54.1,59650.19,1109.59,242.55,5.39,858.8,488.94
2017,132,81,51,61.4,56610.45,815.97,185.94,6.97,616.7,428.87
2026,4,3,1,75.0,3137.29,1078.23,97.4,33.21,716.2,784.32
